epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,21643.4,1.08558,1.02501,0.12155,1.14779,1.27894,0.76626,0.83022,0.9026,0.58053,0.8199,0.87384,0.9331,0.8971,1.0872,0.27035,0.00948,0.7527,1.34123,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,22609.3,1.08026,1.01038,0.11992,1.14214,1.27621,0.76244,0.82746,0.90385,0.58437,0.81852,0.87384,0.93553,0.8983,1.08483,0.26735,0.01081,0.74848,1.33995,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,23575.7,1.075,0.99628,0.1185,1.13522,1.26868,0.76308,0.82096,0.90465,0.58399,0.81718,0.86735,0.93488,0.89785,1.08605,0.26372,0.01081,0.75288,1.3416,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,24540.6,1.0721,0.99358,0.11622,1.12785,1.26672,0.75951,0.82375,0.9029,0.58365,0.81718,0.87106,0.93603,0.89844,1.08427,0.26218,0.01104,0.74898,1.33961,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,25507.6,1.06939,0.99113,0.11579,1.12659,1.26639,0.75595,0.83041,0.90134,0.58377,0.81272,0.87758,0.9355,0.89827,1.08169,0.25958,0.01075,0.74743,1.33837,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,26472.2,1.06395,0.96824,0.11523,1.12162,1.26214,0.75444,0.83222,0.89811,0.58079,0.80577,0.87755,0.93443,0.89773,1.08036,0.25847,0.01045,0.745,1.33751,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,27439,1.05669,0.95295,0.11419,1.12001,1.25616,0.75258,0.83395,0.89892,0.58206,0.80662,0.87848,0.93413,0.89812,1.07761,0.25745,0.01022,0.74345,1.33678,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,28404.5,1.05375,0.9457,0.11282,1.11426,1.25707,0.75828,0.82934,0.90015,0.58305,0.80577,0.88129,0.93598,0.89937,1.07558,0.25642,0.00985,0.73965,1.33667,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,29370.8,1.04617,0.93681,0.11362,1.10984,1.24925,0.75727,0.8321,0.9002,0.58259,0.80664,0.87844,0.93578,0.89941,1.07437,0.25647,0.00938,0.73652,1.3367,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,30337.2,1.04256,0.9237,0.11201,1.10499,1.24756,0.74971,0.83673,0.89945,0.58546,0.79715,0.88404,0.93492,0.89885,1.07303,0.25628,0.00913,0.7338,1.33608,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,31304.7,1.04029,0.91641,0.11089,1.10481,1.24767,0.75105,0.83959,0.89979,0.58491,0.80132,0.89054,0.93413,0.89793,1.07276,0.25593,0.00889,0.73185,1.33696,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,32271.1,1.03366,0.91984,0.11051,1.09473,1.24122,0.75011,0.83816,0.8991,0.58628,0.80232,0.88868,0.93338,0.89797,1.07117,0.25485,0.00879,0.72951,1.33676,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,33238,1.03212,0.91112,0.10926,1.09464,1.24167,0.74537,0.83673,0.89888,0.58635,0.80149,0.88776,0.93394,0.89903,1.06941,0.25421,0.00878,0.72846,1.33585,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,34258.2,1.02516,0.90468,0.10901,1.09302,1.23807,0.75207,0.83581,0.90061,0.58838,0.79881,0.88776,0.93461,0.90012,1.06813,0.25258,0.00852,0.72755,1.3356,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,1029.06,1.01623,0.87824,0.10795,1.08169,1.23624,0.7521,0.83866,0.90061,0.58965,0.80079,0.88497,0.93444,0.89975,1.06728,0.25214,0.00841,0.72531,1.33495,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,95742.6,1.02945,0.90564,0.11085,1.09481,1.24069,0.74672,0.83959,0.89963,0.58853,0.79635,0.88871,0.93395,0.89956,1.06717,0.25176,0.00844,0.72548,1.33458,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,97308.8,1.02996,0.90765,0.1085,1.09143,1.24097,0.74708,0.83581,0.89922,0.58813,0.79849,0.88586,0.93351,0.89887,1.06673,0.25085,0.00828,0.72522,1.33426,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,98635.7,1.02456,0.90234,0.10897,1.09061,1.23681,0.74957,0.83299,0.89931,0.5882,0.79719,0.8859,0.93392,0.89933,1.06559,0.25066,0.0083,0.72425,1.33404,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,99584.9,1.01795,0.88756,0.10768,1.08759,1.2318,0.74708,0.83299,0.89869,0.58781,0.7999,0.8863,0.93426,0.89999,1.06501,0.24956,0.00836,0.72481,1.33378,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,100549,1.01376,0.87617,0.10673,1.08142,1.2275,0.7442,0.8321,0.89804,0.58744,0.79939,0.88347,0.93382,0.89989,1.06393,0.24905,0.0084,0.72492,1.33404,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,101500,1.01434,0.87475,0.10668,1.07949,1.23089,0.74095,0.83302,0.89693,0.58655,0.79371,0.8859,0.93296,0.89931,1.06318,0.24934,0.00858,0.72376,1.33361,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,102454,1.00977,0.87019,0.10586,1.07793,1.22737,0.74531,0.83117,0.8973,0.58582,0.79355,0.88497,0.93372,0.90023,1.06238,0.24879,0.00851,0.72258,1.33324,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,103408,1.01028,0.87277,0.10594,1.07779,1.2256,0.74449,0.83302,0.89854,0.5869,0.78963,0.8859,0.93353,0.90025,1.06171,0.24861,0.0084,0.72009,1.33278,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,104358,1.00579,0.86511,0.10663,1.0726,1.22592,0.74508,0.82967,0.89656,0.58632,0.79173,0.88161,0.93241,0.89974,1.06059,0.24817,0.00827,0.72026,1.33131,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
