epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,23645,1.10203,1.12135,0.13311,1.16656,1.27382,0.7676,0.83647,0.88832,0.56781,0.82429,0.87038,0.92842,0.87568,1.11344,0.32668,0.01455,0.81318,1.34498,0.0004142,0.0004142,0.0004142
28,24486.6,1.09475,1.1041,0.13119,1.16168,1.27008,0.76578,0.83302,0.88553,0.56516,0.82287,0.86735,0.92739,0.87574,1.11182,0.32334,0.01413,0.81295,1.3447,0.0004109,0.0004109,0.0004109
29,25331.8,1.08985,1.08634,0.12906,1.15215,1.26702,0.76184,0.83581,0.88664,0.56792,0.82077,0.85807,0.92678,0.87433,1.11021,0.32051,0.01368,0.81019,1.34372,0.0004076,0.0004076,0.0004076
30,26175.3,1.08856,1.07421,0.12904,1.1528,1.26619,0.76096,0.83766,0.89071,0.57046,0.82193,0.86178,0.92836,0.87549,1.10806,0.31844,0.01347,0.80752,1.34243,0.0004043,0.0004043,0.0004043
31,27016.1,1.08088,1.06244,0.12669,1.14117,1.26298,0.7601,0.83179,0.89111,0.57186,0.82753,0.859,0.92875,0.8769,1.1051,0.31715,0.01349,0.80458,1.34011,0.000401,0.000401,0.000401
32,27857.5,1.07106,1.05029,0.12635,1.14203,1.25991,0.75998,0.83024,0.89015,0.57023,0.81528,0.86391,0.92813,0.87784,1.1032,0.31591,0.01338,0.80386,1.33929,0.0003977,0.0003977,0.0003977
33,28695.5,1.07219,1.04691,0.12521,1.13573,1.25582,0.75586,0.83488,0.89035,0.57266,0.81505,0.86364,0.9283,0.87802,1.10199,0.31511,0.01309,0.80156,1.33871,0.0003944,0.0003944,0.0003944
34,29531.9,1.06925,1.02956,0.1227,1.13273,1.25172,0.76208,0.83395,0.89097,0.57225,0.81425,0.86735,0.92786,0.87778,1.10045,0.31438,0.01288,0.80019,1.33731,0.0003911,0.0003911,0.0003911
35,30369,1.0616,1.0308,0.12308,1.12942,1.24957,0.76033,0.83488,0.89077,0.57207,0.81775,0.86576,0.92844,0.879,1.10031,0.31374,0.01276,0.7982,1.33688,0.0003878,0.0003878,0.0003878
36,31205.3,1.0572,1.01477,0.12207,1.12084,1.24693,0.7584,0.83488,0.89116,0.5724,0.81823,0.86857,0.92873,0.87959,1.10005,0.31337,0.0127,0.79567,1.33662,0.0003845,0.0003845,0.0003845
37,32058.9,1.05312,1.01491,0.1207,1.12178,1.24199,0.76374,0.83581,0.89284,0.57283,0.81934,0.86669,0.92861,0.88034,1.0996,0.31251,0.01262,0.79347,1.33555,0.0003812,0.0003812,0.0003812
38,32895.5,1.04971,1.00874,0.11895,1.11914,1.24056,0.76414,0.83766,0.89298,0.57365,0.81877,0.86456,0.92794,0.88,1.09846,0.31081,0.01255,0.79199,1.33494,0.0003779,0.0003779,0.0003779
39,33731.5,1.0473,0.99043,0.11842,1.11732,1.23857,0.76279,0.84416,0.89382,0.57584,0.81773,0.86271,0.92781,0.8805,1.09731,0.3099,0.01245,0.79069,1.33427,0.0003746,0.0003746,0.0003746
40,34567.6,1.04311,0.99332,0.11842,1.11478,1.23693,0.76283,0.84137,0.894,0.5768,0.81337,0.86115,0.92689,0.87965,1.09515,0.30904,0.01231,0.7902,1.33346,0.0003713,0.0003713,0.0003713
41,35418,1.04233,0.97834,0.1182,1.10876,1.23786,0.7566,0.84787,0.8939,0.57667,0.81049,0.86488,0.92664,0.88004,1.0935,0.30792,0.01216,0.78797,1.33278,0.000368,0.000368,0.000368
42,36252.4,1.03965,0.97848,0.11504,1.10558,1.23297,0.75706,0.84698,0.89347,0.57524,0.80631,0.86502,0.92659,0.87966,1.09232,0.30721,0.01217,0.78714,1.33217,0.0003647,0.0003647,0.0003647
43,37084.5,1.0337,0.96024,0.11481,1.10094,1.22965,0.75497,0.84888,0.89388,0.57526,0.8057,0.86735,0.92655,0.88073,1.09166,0.30674,0.01203,0.78507,1.33207,0.0003614,0.0003614,0.0003614
44,37918,1.0287,0.9617,0.11494,1.10277,1.22844,0.75581,0.8556,0.89508,0.57695,0.80681,0.8678,0.92679,0.88021,1.09092,0.30607,0.01195,0.78389,1.33153,0.0003581,0.0003581,0.0003581
45,38750.6,1.0294,0.93999,0.11237,1.09783,1.22551,0.76054,0.85158,0.89677,0.57739,0.81335,0.86642,0.92714,0.88041,1.08961,0.30523,0.01169,0.78079,1.33073,0.0003548,0.0003548,0.0003548
46,39582.7,1.01961,0.94487,0.11444,1.08993,1.22123,0.75939,0.85807,0.89674,0.57695,0.81772,0.86271,0.92685,0.88017,1.08863,0.30452,0.01164,0.77925,1.33012,0.0003515,0.0003515,0.0003515
47,40415.2,1.02139,0.93773,0.11362,1.09154,1.22478,0.76119,0.85746,0.89682,0.57763,0.80838,0.86735,0.92661,0.87986,1.08671,0.30347,0.01145,0.7777,1.32874,0.0003482,0.0003482,0.0003482
48,41247.9,1.01557,0.93359,0.10986,1.08863,1.21754,0.75841,0.85714,0.89762,0.58011,0.81505,0.86456,0.92633,0.87944,1.08501,0.30271,0.01129,0.77587,1.32694,0.0003449,0.0003449,0.0003449
49,42083,1.01567,0.91611,0.11177,1.08089,1.2171,0.76256,0.85529,0.89948,0.58211,0.81083,0.87075,0.9269,0.88031,1.08304,0.30162,0.01116,0.77292,1.32557,0.0003416,0.0003416,0.0003416
50,42917.4,1.00898,0.91446,0.10967,1.08179,1.21646,0.77968,0.84601,0.90211,0.58306,0.81472,0.86735,0.92798,0.8812,1.08171,0.30059,0.01107,0.771,1.32461,0.0003383,0.0003383,0.0003383
51,43752.1,1.00814,0.90787,0.10902,1.07514,1.21251,0.78006,0.84879,0.90294,0.58396,0.81916,0.86827,0.92868,0.88265,1.08062,0.29977,0.01089,0.76789,1.32431,0.000335,0.000335,0.000335
52,44586.2,1.0058,0.9143,0.10972,1.07381,1.21363,0.78089,0.85622,0.90355,0.58484,0.8207,0.86827,0.92949,0.88455,1.07932,0.29882,0.0106,0.76518,1.32381,0.0003317,0.0003317,0.0003317
53,45422.9,0.99864,0.90059,0.10818,1.06969,1.2078,0.78402,0.85529,0.9047,0.58436,0.82318,0.87013,0.93048,0.88639,1.0781,0.29787,0.01048,0.76182,1.32354,0.0003284,0.0003284,0.0003284
54,46256.7,1.00211,0.90003,0.1088,1.07266,1.21071,0.78135,0.85528,0.90535,0.58432,0.82164,0.87384,0.93107,0.88729,1.07707,0.29658,0.01034,0.75994,1.32331,0.0003251,0.0003251,0.0003251
55,47091.8,0.99701,0.89412,0.10832,1.07171,1.20725,0.78365,0.8525,0.90477,0.58509,0.81758,0.87724,0.9307,0.88874,1.07527,0.29596,0.01024,0.75888,1.32256,0.0003218,0.0003218,0.0003218
56,47993.3,0.99784,0.88663,0.10745,1.06606,1.20706,0.78023,0.85622,0.90517,0.58508,0.81883,0.87629,0.93123,0.88982,1.07479,0.2955,0.01022,0.75707,1.32228,0.0003185,0.0003185,0.0003185
57,48830.3,0.9901,0.87744,0.10804,1.06164,1.20474,0.78352,0.84943,0.90438,0.58559,0.82001,0.87058,0.93121,0.88984,1.0745,0.29474,0.0101,0.75518,1.32242,0.0003152,0.0003152,0.0003152
58,49693,0.99064,0.87796,0.10539,1.06028,1.20262,0.77979,0.8541,0.90388,0.58447,0.8165,0.87291,0.93073,0.88983,1.0743,0.2941,0.00989,0.75421,1.32336,0.0003119,0.0003119,0.0003119
59,50533.1,0.98738,0.86979,0.10707,1.05882,1.20434,0.77518,0.85714,0.90545,0.58551,0.81301,0.87522,0.93104,0.89087,1.07328,0.29337,0.00979,0.75273,1.32295,0.0003086,0.0003086,0.0003086
60,51372.5,0.98672,0.86697,0.1052,1.0544,1.19882,0.7796,0.85315,0.90527,0.58681,0.81778,0.8757,0.93174,0.89047,1.07225,0.29392,0.00964,0.75171,1.3223,0.0003053,0.0003053,0.0003053
61,52208.3,0.98515,0.85946,0.1048,1.04972,1.20119,0.77659,0.85129,0.9043,0.58618,0.81906,0.87477,0.93195,0.8915,1.07101,0.29286,0.00951,0.75025,1.32188,0.000302,0.000302,0.000302
62,53043.2,0.98147,0.8633,0.1052,1.04199,1.19579,0.77137,0.85343,0.90154,0.58549,0.82131,0.87409,0.93253,0.89174,1.07028,0.29164,0.00943,0.74921,1.32154,0.0002987,0.0002987,0.0002987
63,53878.4,0.97652,0.85223,0.10445,1.03591,1.19418,0.76826,0.85714,0.90021,0.58452,0.82546,0.87291,0.93309,0.8921,1.06948,0.29113,0.00934,0.74781,1.32144,0.0002954,0.0002954,0.0002954
64,54712.7,0.9726,0.85023,0.10375,1.03031,1.19361,0.75962,0.86178,0.89861,0.58364,0.82688,0.87286,0.93392,0.8933,1.06917,0.29046,0.00928,0.7466,1.3213,0.0002921,0.0002921,0.0002921
65,55547.3,0.97447,0.84868,0.10348,1.02681,1.19234,0.75509,0.86085,0.89796,0.58247,0.83435,0.87662,0.93467,0.89416,1.06871,0.28963,0.00916,0.7448,1.32137,0.0002888,0.0002888,0.0002888
66,56382.3,0.97383,0.84261,0.10332,1.02198,1.19133,0.74859,0.8618,0.89593,0.58038,0.83137,0.8781,0.93477,0.8948,1.06864,0.28892,0.00902,0.74312,1.32166,0.0002855,0.0002855,0.0002855
67,57218.1,0.97204,0.83478,0.10224,1.01902,1.19238,0.74759,0.86549,0.89339,0.57916,0.82942,0.88219,0.93463,0.89543,1.06831,0.28792,0.00892,0.74332,1.32121,0.0002822,0.0002822,0.0002822
68,58052.7,0.96924,0.83345,0.10247,1.01261,1.18879,0.7438,0.86178,0.89157,0.57749,0.83205,0.88497,0.93516,0.8964,1.06786,0.28785,0.00875,0.74233,1.32117,0.0002789,0.0002789,0.0002789
69,58888.4,0.97359,0.82876,0.10063,1.01023,1.18986,0.73559,0.86456,0.88931,0.57558,0.83385,0.87988,0.93571,0.89716,1.06699,0.28688,0.00862,0.74195,1.32063,0.0002756,0.0002756,0.0002756
70,59723.4,0.96735,0.83836,0.10245,1.00095,1.18887,0.73234,0.86551,0.88895,0.57626,0.83516,0.88359,0.93706,0.89752,1.06644,0.28645,0.00856,0.73984,1.32091,0.0002723,0.0002723,0.0002723
71,60557.6,0.96238,0.82993,0.1016,0.99332,1.186,0.73026,0.86643,0.88702,0.57545,0.83687,0.88517,0.93829,0.899,1.06571,0.28602,0.00846,0.73921,1.32113,0.000269,0.000269,0.000269
72,61393.1,0.96624,0.82022,0.10173,0.98789,1.18775,0.73135,0.86364,0.88713,0.5759,0.84277,0.8859,0.93994,0.90034,1.06578,0.2852,0.00836,0.73715,1.32112,0.0002657,0.0002657,0.0002657
73,62227.1,0.95848,0.81713,0.09987,0.97853,1.18363,0.73486,0.85871,0.88646,0.57494,0.84894,0.88683,0.94097,0.90195,1.06361,0.28447,0.00833,0.73597,1.32044,0.0002624,0.0002624,0.0002624
74,63061.5,0.95431,0.81254,0.10118,0.97473,1.18302,0.7393,0.85759,0.88881,0.57727,0.85981,0.88756,0.94298,0.90463,1.06286,0.28399,0.0082,0.73282,1.32019,0.0002591,0.0002591,0.0002591
75,63895.1,0.95658,0.81669,0.10088,0.97235,1.18063,0.74021,0.85372,0.88927,0.57836,0.86514,0.8859,0.94479,0.90661,1.06226,0.28325,0.00814,0.73047,1.32011,0.0002558,0.0002558,0.0002558
76,64729.8,0.95477,0.80549,0.09953,0.96415,1.18117,0.74591,0.84416,0.89052,0.57843,0.86996,0.88747,0.94669,0.90832,1.06153,0.28281,0.00807,0.72801,1.31996,0.0002525,0.0002525,0.0002525
77,65562.8,0.94951,0.79661,0.09992,0.95861,1.17849,0.75364,0.83673,0.89234,0.58027,0.86947,0.88776,0.94888,0.91023,1.06102,0.28242,0.00796,0.72513,1.31981,0.0002492,0.0002492,0.0002492
78,66395.8,0.95403,0.79885,0.09861,0.95398,1.17943,0.75618,0.84872,0.89425,0.58291,0.87288,0.88868,0.9506,0.9115,1.06092,0.28202,0.00795,0.72236,1.31963,0.0002459,0.0002459,0.0002459
79,67230.9,0.94484,0.79435,0.09901,0.94792,1.17686,0.75869,0.85436,0.89612,0.58441,0.88359,0.88961,0.95207,0.91272,1.06017,0.28176,0.00792,0.71968,1.31937,0.0002426,0.0002426,0.0002426
80,68064.1,0.9482,0.79469,0.09875,0.94779,1.17694,0.75285,0.86549,0.89696,0.58461,0.88353,0.88868,0.95303,0.91349,1.05966,0.28163,0.00794,0.71877,1.31959,0.0002393,0.0002393,0.0002393
81,68896.3,0.94486,0.79901,0.09897,0.94319,1.17629,0.75777,0.86178,0.89717,0.5845,0.88809,0.88497,0.95435,0.91428,1.05972,0.28156,0.00789,0.71807,1.31961,0.000236,0.000236,0.000236
82,69734.6,0.94248,0.79173,0.09993,0.93918,1.17534,0.76402,0.86178,0.90031,0.5875,0.88984,0.89166,0.95556,0.9164,1.05871,0.2811,0.00787,0.71492,1.31915,0.0002327,0.0002327,0.0002327
83,70577.5,0.94104,0.7887,0.09911,0.93633,1.17356,0.77352,0.86364,0.90427,0.59086,0.89035,0.89796,0.95683,0.91701,1.05842,0.28065,0.0079,0.71072,1.31852,0.0002294,0.0002294,0.0002294
84,71417.6,0.93798,0.78053,0.09874,0.93447,1.17249,0.78023,0.86456,0.90807,0.59407,0.88985,0.90074,0.95806,0.91881,1.05769,0.2803,0.00789,0.70673,1.31824,0.0002261,0.0002261,0.0002261
85,72250.9,0.93774,0.78848,0.0977,0.92816,1.17149,0.78354,0.87477,0.9117,0.59526,0.89785,0.89688,0.95938,0.92012,1.05675,0.2802,0.00799,0.7017,1.31812,0.0002228,0.0002228,0.0002228
86,1547.71,0.936,0.76214,0.0994,0.97182,1.16872,0.78573,0.87941,0.91371,0.59843,0.89746,0.89313,0.95998,0.92053,1.05624,0.28016,0.00804,0.69845,1.31803,0.0002195,0.0002195,0.0002195
87,3522.76,0.94798,0.79262,0.09982,0.96485,1.17855,0.78568,0.87848,0.91516,0.599,0.89988,0.89215,0.96042,0.9205,1.05614,0.27989,0.00809,0.69616,1.31825,0.0002162,0.0002162,0.0002162
88,4517.32,0.94519,0.78937,0.09946,0.95725,1.17567,0.79454,0.87941,0.91754,0.60019,0.89666,0.90145,0.96129,0.9211,1.05637,0.27922,0.00813,0.69252,1.3183,0.0002129,0.0002129,0.0002129
89,5471.35,0.9467,0.79647,0.10008,0.9556,1.1773,0.82724,0.86271,0.92052,0.60215,0.90073,0.89796,0.96205,0.92136,1.05595,0.27881,0.00821,0.68779,1.31803,0.0002096,0.0002096,0.0002096
90,6363.08,0.94135,0.7839,0.09948,0.94994,1.17559,0.83215,0.86549,0.92228,0.60337,0.90222,0.90445,0.9625,0.92096,1.05584,0.27869,0.00813,0.68458,1.31805,0.0002063,0.0002063,0.0002063
91,7260.65,0.9451,0.78379,0.09869,0.94689,1.17642,0.83108,0.87291,0.92499,0.60502,0.90282,0.9049,0.96316,0.92104,1.05583,0.27826,0.00822,0.6809,1.31834,0.000203,0.000203,0.000203
92,8138.79,0.9382,0.77848,0.09888,0.94128,1.17,0.83763,0.87095,0.92835,0.6082,0.90868,0.90724,0.96455,0.92218,1.05606,0.2785,0.00829,0.67567,1.31883,0.0001997,0.0001997,0.0001997
93,9013.17,0.93732,0.78282,0.09856,0.93578,1.17233,0.84094,0.86808,0.92982,0.60944,0.90714,0.90816,0.96485,0.92279,1.05533,0.27837,0.00831,0.67317,1.31874,0.0001964,0.0001964,0.0001964
94,9853.53,0.93503,0.76964,0.09844,0.93239,1.16918,0.84484,0.86735,0.9319,0.61125,0.90461,0.90816,0.96558,0.92361,1.05439,0.27783,0.0084,0.66983,1.31832,0.0001931,0.0001931,0.0001931
95,10693.1,0.93105,0.7662,0.09741,0.92479,1.16517,0.84628,0.87199,0.9331,0.61281,0.90901,0.90909,0.96602,0.92413,1.05412,0.27733,0.00849,0.66716,1.31802,0.0001898,0.0001898,0.0001898
96,11540.9,0.92806,0.76346,0.09837,0.92045,1.16381,0.85194,0.87536,0.93632,0.61478,0.91499,0.91002,0.96573,0.92485,1.05387,0.27741,0.00853,0.66233,1.31767,0.0001865,0.0001865,0.0001865
97,1276.54,0.90691,0.70682,0.09652,0.9355,1.15355,0.85203,0.87941,0.93662,0.61461,0.91572,0.9128,0.96593,0.92468,1.05336,0.27715,0.00863,0.66067,1.31772,0.0001832,0.0001832,0.0001832
98,2922.15,0.92078,0.73823,0.09712,0.93232,1.16442,0.85652,0.87848,0.93707,0.61447,0.91621,0.91293,0.96632,0.92547,1.05384,0.27736,0.00868,0.65955,1.31779,0.0001799,0.0001799,0.0001799
99,3839.7,0.92091,0.73965,0.09701,0.9288,1.16269,0.86416,0.88126,0.93998,0.61693,0.92064,0.91474,0.96703,0.92531,1.05369,0.27741,0.00875,0.65513,1.31824,0.0001766,0.0001766,0.0001766
100,4736.81,0.92366,0.75046,0.09805,0.92957,1.16482,0.86604,0.88155,0.9407,0.61657,0.91992,0.91744,0.96719,0.92617,1.05394,0.27746,0.00879,0.65426,1.31832,0.0001733,0.0001733,0.0001733
101,5565.55,0.91975,0.74325,0.09729,0.92549,1.16373,0.86834,0.88712,0.94264,0.61873,0.92499,0.91558,0.96771,0.92588,1.05426,0.27734,0.00885,0.65011,1.31865,0.00017,0.00017,0.00017
