epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,11660.4,1.15751,1.33107,0.13451,1.1763,1.30549,0.87942,0.84137,0.92609,0.65343,0.90042,0.8757,0.95041,0.90534,1.01425,0.33617,0.00701,0.7062,1.24311,4.175e-05,4.175e-05,4.175e-05
27,12107,1.1466,1.30198,0.13632,1.17242,1.30257,0.87747,0.84137,0.92521,0.65342,0.90292,0.87755,0.95019,0.905,1.01448,0.33538,0.007,0.70657,1.243,4.142e-05,4.142e-05,4.142e-05
28,12554.8,1.14642,1.31275,0.13672,1.16707,1.29883,0.87244,0.84381,0.92431,0.65262,0.90017,0.88404,0.95037,0.90513,1.01347,0.33408,0.00691,0.70646,1.24283,4.109e-05,4.109e-05,4.109e-05
29,13002.1,1.13076,1.30579,0.13405,1.15637,1.29047,0.87636,0.84323,0.92317,0.65161,0.90523,0.88312,0.95046,0.90608,1.01271,0.33141,0.00697,0.70814,1.24284,4.076e-05,4.076e-05,4.076e-05
30,13449,1.15138,1.30782,0.13378,1.16229,1.2961,0.88372,0.84787,0.92481,0.65241,0.91008,0.88253,0.95126,0.90642,1.01166,0.33,0.0069,0.70479,1.24238,4.043e-05,4.043e-05,4.043e-05
31,13895,1.14196,1.27166,0.13234,1.15864,1.29267,0.87557,0.85065,0.92376,0.65246,0.90983,0.88916,0.95062,0.90633,1.00988,0.32906,0.00688,0.70307,1.2418,4.01e-05,4.01e-05,4.01e-05
32,14342.9,1.12278,1.26465,0.13209,1.14326,1.2824,0.87904,0.8494,0.92319,0.65286,0.91381,0.88683,0.95067,0.90682,1.00896,0.3278,0.00676,0.70278,1.24112,3.977e-05,3.977e-05,3.977e-05
33,14790.3,1.12417,1.27165,0.13239,1.13665,1.28676,0.87886,0.84972,0.92309,0.65246,0.91399,0.88714,0.95113,0.90705,1.00868,0.32642,0.00675,0.70283,1.24078,3.944e-05,3.944e-05,3.944e-05
34,15237.8,1.11684,1.24253,0.12948,1.13568,1.27335,0.8767,0.85087,0.92395,0.654,0.91302,0.88612,0.95189,0.90845,1.00846,0.32514,0.00652,0.70044,1.24136,3.911e-05,3.911e-05,3.911e-05
35,15684,1.12432,1.26176,0.13107,1.14128,1.28025,0.88037,0.85065,0.92443,0.6532,0.91557,0.88519,0.95193,0.908,1.00775,0.32465,0.00654,0.7006,1.24106,3.878e-05,3.878e-05,3.878e-05
36,16131.7,1.11011,1.2241,0.12862,1.136,1.27467,0.88208,0.85436,0.92624,0.65511,0.9156,0.88683,0.95272,0.90939,1.0073,0.32412,0.00653,0.69922,1.24115,3.845e-05,3.845e-05,3.845e-05
37,16579.3,1.10644,1.21048,0.12856,1.12534,1.27616,0.88387,0.85428,0.92703,0.65551,0.91593,0.89054,0.95307,0.90942,1.00691,0.32336,0.00652,0.69765,1.24128,3.812e-05,3.812e-05,3.812e-05
38,17026.8,1.11054,1.23096,0.12825,1.12242,1.27627,0.88642,0.85428,0.92629,0.65467,0.91764,0.88888,0.95321,0.90937,1.00647,0.3229,0.00661,0.69811,1.24141,3.779e-05,3.779e-05,3.779e-05
39,17472.8,1.10712,1.20033,0.12716,1.11653,1.27526,0.88844,0.84957,0.92521,0.65305,0.92184,0.88497,0.95288,0.90889,1.00643,0.3218,0.00653,0.69891,1.24165,3.746e-05,3.746e-05,3.746e-05
40,17919.3,1.09622,1.19249,0.12586,1.11063,1.26924,0.89082,0.84767,0.92527,0.65246,0.92262,0.88312,0.95276,0.90884,1.00586,0.32129,0.00651,0.69883,1.2418,3.713e-05,3.713e-05,3.713e-05
41,18365.4,1.09949,1.18862,0.12554,1.11574,1.26436,0.89006,0.84862,0.92463,0.65362,0.92606,0.88294,0.95292,0.90834,1.00589,0.32041,0.0065,0.69879,1.24191,3.68e-05,3.68e-05,3.68e-05
42,18812.6,1.10306,1.19269,0.12759,1.11704,1.26782,0.88921,0.84416,0.92456,0.65458,0.92588,0.87941,0.95306,0.90888,1.00546,0.32007,0.00647,0.69772,1.24202,3.647e-05,3.647e-05,3.647e-05
43,19259.1,1.08825,1.18403,0.12398,1.10032,1.26189,0.88594,0.84301,0.92485,0.65529,0.92598,0.88199,0.95324,0.90974,1.00559,0.31948,0.00646,0.69672,1.24235,3.614e-05,3.614e-05,3.614e-05
44,19706.8,1.08794,1.17735,0.12361,1.09971,1.25739,0.88336,0.84301,0.92485,0.65382,0.92321,0.88104,0.9538,0.90992,1.00556,0.31899,0.00642,0.69586,1.24247,3.581e-05,3.581e-05,3.581e-05
45,20152.6,1.09399,1.16855,0.12409,1.10429,1.26935,0.88336,0.84301,0.92492,0.65461,0.92306,0.87916,0.95399,0.9103,1.00538,0.31831,0.00639,0.69467,1.24287,3.548e-05,3.548e-05,3.548e-05
46,477.682,1.10822,1.21798,0.12989,1.12254,1.27407,0.88107,0.84416,0.92429,0.65458,0.92313,0.88012,0.95366,0.91036,1.00557,0.31832,0.00641,0.69514,1.24291,3.515e-05,3.515e-05,3.515e-05
47,943.798,1.10157,1.20672,0.12722,1.11363,1.26837,0.88021,0.84416,0.92438,0.65458,0.92237,0.87941,0.95356,0.91039,1.00521,0.31829,0.00642,0.69515,1.24281,3.482e-05,3.482e-05,3.482e-05
48,1409.9,1.1007,1.2043,0.12754,1.1136,1.2684,0.87865,0.84531,0.92428,0.65442,0.92147,0.88164,0.95352,0.91032,1.0053,0.31824,0.006412,0.69486,1.243,3.449e-05,3.449e-05,3.449e-05
49,1876.0,1.0999,1.2018,0.12786,1.1136,1.2684,0.87709,0.84646,0.92418,0.65426,0.92057,0.88386,0.95347,0.91025,1.0054,0.31819,0.006404,0.69457,1.2432,3.416e-05,3.416e-05,3.416e-05
50,2342.2,1.0991,1.1993,0.12818,1.1136,1.2684,0.87552,0.84760,0.92407,0.65410,0.91968,0.88609,0.95343,0.91019,1.0054,0.31814,0.006396,0.69427,1.2434,3.383e-05,3.383e-05,3.383e-05
51,2808.3,1.0983,1.1968,0.12850,1.1136,1.2684,0.87396,0.84875,0.92397,0.65394,0.91878,0.88831,0.95338,0.91012,1.0055,0.31809,0.006388,0.69398,1.2436,3.350e-05,3.350e-05,3.350e-05
52,469.797,1.09743,1.19438,0.12882,1.11356,1.26845,0.8724,0.8499,0.92387,0.65378,0.91788,0.89054,0.95334,0.91005,1.00558,0.31804,0.00638,0.69369,1.2438,3.317e-05,3.317e-05,3.317e-05
53,924.981,1.10054,1.22614,0.12869,1.11745,1.26618,0.87005,0.85087,0.9234,0.65263,0.91945,0.88951,0.95321,0.91012,1.00572,0.31833,0.00651,0.69395,1.24384,3.284e-05,3.284e-05,3.284e-05
54,1378.14,1.09658,1.20821,0.12892,1.11476,1.26838,0.87266,0.84879,0.92322,0.65302,0.91769,0.88951,0.95332,0.91014,1.00582,0.31855,0.00652,0.69383,1.24418,3.251e-05,3.251e-05,3.251e-05
55,1831.1,1.09746,1.19028,0.12858,1.1142,1.26478,0.87235,0.84879,0.92371,0.65349,0.91525,0.89054,0.9534,0.91039,1.00577,0.31821,0.00656,0.69314,1.24398,3.218e-05,3.218e-05,3.218e-05
56,2283.72,1.09778,1.19635,0.12605,1.10022,1.26904,0.87343,0.85065,0.92477,0.6543,0.91593,0.88776,0.95374,0.91072,1.00601,0.31795,0.0066,0.69222,1.24417,3.185e-05,3.185e-05,3.185e-05
57,2734.6,1.09321,1.17422,0.12641,1.10936,1.26296,0.87349,0.84879,0.92409,0.65423,0.91586,0.88856,0.95365,0.91058,1.00589,0.31765,0.00658,0.69313,1.24407,3.152e-05,3.152e-05,3.152e-05
58,3183.65,1.09295,1.19065,0.12787,1.1072,1.2619,0.87063,0.85065,0.92395,0.65311,0.91761,0.88683,0.95383,0.91104,1.00524,0.31739,0.00666,0.6939,1.24388,3.119e-05,3.119e-05,3.119e-05
59,3631.83,1.0892,1.17668,0.12361,1.10244,1.25983,0.87271,0.84972,0.92424,0.65332,0.92107,0.88683,0.95403,0.91146,1.00511,0.31689,0.00662,0.69281,1.24378,3.086e-05,3.086e-05,3.086e-05
60,4080.01,1.0866,1.17967,0.12597,1.10051,1.26266,0.87025,0.84619,0.92313,0.65351,0.9201,0.88668,0.95379,0.91164,1.00461,0.3166,0.00658,0.69303,1.24375,3.053e-05,3.053e-05,3.053e-05
61,4527.43,1.07766,1.16589,0.12469,1.09502,1.2547,0.8698,0.84899,0.9231,0.65371,0.92088,0.88535,0.95368,0.91094,1.00426,0.31647,0.00649,0.69263,1.24369,3.02e-05,3.02e-05,3.02e-05
