epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1751.36,1.64949,3.58378,0.51968,1.85798,1.75316,0.76339,0.75417,0.81192,0.43222,0.79056,0.76994,0.84314,0.64566,1.47821,1.07412,0.20493,1.13646,1.68446,0.000166628,0.000166628,0.066841
2,3351.3,1.5126,2.49101,0.30101,1.65541,1.62452,0.73421,0.75603,0.83475,0.45133,0.7953,0.81447,0.88924,0.7312,1.44949,0.81662,0.06618,1.11982,1.67091,0.000331095,0.000331095,0.0336721
3,4950.66,1.43437,2.10548,0.23953,1.55032,1.56034,0.62126,0.75696,0.70933,0.41181,0.73912,0.81262,0.84899,0.7349,1.37094,0.60672,0.04395,1.07342,1.59226,0.000493362,0.000493362,0.000501058
4,6541.07,1.37574,1.88475,0.21223,1.4762,1.50717,0.76887,0.73753,0.83662,0.50466,0.76653,0.74924,0.85114,0.75563,1.32032,0.52064,0.0386,1.01175,1.52542,0.0004901,0.0004901,0.0004901
5,8128.04,1.32291,1.70637,0.19171,1.41673,1.46742,0.91934,0.80705,0.93296,0.56951,0.91934,0.80705,0.93367,0.84436,1.28194,0.46795,0.0319,0.90682,1.50022,0.0004868,0.0004868,0.0004868
6,9713.83,1.28374,1.56524,0.18064,1.3705,1.43558,0.75222,0.7829,0.8414,0.52114,0.76806,0.83556,0.87601,0.80302,1.26488,0.43755,0.0248,0.94906,1.4937,0.0004835,0.0004835,0.0004835
7,11297.1,1.25605,1.47354,0.17114,1.3331,1.41597,0.80469,0.76437,0.85728,0.54471,0.84566,0.83024,0.92382,0.8579,1.21955,0.40732,0.02717,0.926,1.44376,0.0004802,0.0004802,0.0004802
8,12880.5,1.23029,1.40565,0.16279,1.3091,1.39736,0.82033,0.77922,0.87815,0.55896,0.86301,0.83581,0.92906,0.86472,1.22025,0.37782,0.0239,0.90887,1.44934,0.0004769,0.0004769,0.0004769
9,14464.9,1.21192,1.35882,0.15912,1.2874,1.38161,0.89208,0.79221,0.91361,0.58231,0.9109,0.84137,0.94049,0.87792,1.21758,0.36276,0.02462,0.88318,1.4477,0.0004736,0.0004736,0.0004736
10,16048.7,1.19264,1.30659,0.15488,1.26758,1.37103,0.84637,0.7987,0.90886,0.57979,0.86289,0.82902,0.92921,0.8735,1.19426,0.34022,0.02373,0.88145,1.42476,0.0004703,0.0004703,0.0004703
11,17631.7,1.1763,1.2527,0.14649,1.24878,1.35707,0.7725,0.77803,0.87482,0.55597,0.83304,0.8423,0.92619,0.86987,1.16535,0.33162,0.01563,0.89938,1.40968,0.000467,0.000467,0.000467
12,19213.6,1.15605,1.20215,0.14288,1.2288,1.34721,0.8215,0.79221,0.89332,0.57937,0.86467,0.8525,0.93959,0.88734,1.1519,0.32529,0.01803,0.86874,1.39921,0.0004637,0.0004637,0.0004637
13,20796.6,1.1415,1.15958,0.13785,1.21014,1.33208,0.90991,0.81633,0.93769,0.60929,0.91371,0.83117,0.94954,0.89537,1.14647,0.31797,0.01988,0.83201,1.4033,0.0004604,0.0004604,0.0004604
