epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,6771.04,1.08961,0.62046,0.13658,0.87746,0.01304,0.72666,0.97118,0.9564,0.97817,0.64112,0.97872,0.9564,0.98185,0.95959,1.11832,0.21251,0.0232,0.43056,0.02272,0,0.00025248,0.00025248,0.00025248
26,7033.87,1.07559,0.59985,0.13423,0.86149,0.01281,0.64832,0.97188,0.96173,0.98126,0.6403,0.97375,0.96358,0.98324,0.96128,1.11921,0.20299,0.0226,0.42333,0.02274,0,0.0002505,0.0002505,0.0002505
27,7295.75,1.07364,0.60739,0.13373,0.85896,0.01282,0.61827,0.97085,0.95768,0.98086,0.64367,0.97364,0.95953,0.98232,0.96062,1.11507,0.20882,0.02241,0.42313,0.02263,0,0.00024852,0.00024852,0.00024852
28,7558.91,1.06137,0.58682,0.13097,0.86344,0.01263,0.54991,0.97254,0.95918,0.98208,0.64512,0.97583,0.96011,0.98267,0.96108,1.11118,0.21621,0.02242,0.42645,0.02252,0,0.00024654,0.00024654,0.00024654
29,7820.72,1.05404,0.58501,0.13059,0.84949,0.01254,0.50341,0.97093,0.96043,0.98238,0.64619,0.97306,0.95918,0.98327,0.96234,1.10874,0.21621,0.02204,0.42474,0.02243,0,0.00024456,0.00024456,0.00024456
30,8083.32,1.05146,0.56483,0.12956,0.83726,0.01253,0.46511,0.97089,0.96289,0.98232,0.64528,0.97183,0.96382,0.98379,0.96192,1.10313,0.21399,0.02178,0.42528,0.02234,0,0.00024258,0.00024258,0.00024258
31,8345.37,1.04813,0.56457,0.12578,0.82988,0.01244,0.44047,0.96931,0.96681,0.98036,0.64576,0.97024,0.96774,0.98314,0.96055,1.09973,0.21616,0.02146,0.42196,0.02228,0,0.0002406,0.0002406,0.0002406
32,8607.13,1.05008,0.56762,0.12459,0.83482,0.01252,0.41451,0.96934,0.96796,0.98109,0.64514,0.97028,0.96903,0.98328,0.96102,1.0978,0.21583,0.02116,0.4225,0.02223,0,0.00023862,0.00023862,0.00023862
33,8870.06,1.03723,0.5452,0.12425,0.82209,0.01225,0.40009,0.97018,0.96594,0.98118,0.64599,0.97112,0.96687,0.98388,0.96108,1.09484,0.2154,0.02085,0.42043,0.02217,0,0.00023664,0.00023664,0.00023664
34,9131.79,1.03764,0.53996,0.12222,0.8286,0.01237,0.35676,0.97204,0.96475,0.98207,0.64682,0.97292,0.9666,0.98427,0.96166,1.09246,0.19845,0.02017,0.41426,0.02213,0,0.00023466,0.00023466,0.00023466
35,9393.46,1.03582,0.5421,0.12041,0.82434,0.01224,0.32899,0.98005,0.95717,0.98052,0.64749,0.981,0.95809,0.98399,0.96113,1.09157,0.19828,0.01991,0.41576,0.02211,0,0.00023268,0.00023268,0.00023268
36,9656.52,1.02368,0.52617,0.11804,0.81575,0.0121,0.31298,0.97278,0.96125,0.98075,0.649,0.97371,0.96218,0.98349,0.96133,1.09144,0.206,0.01942,0.41577,0.02209,0,0.0002307,0.0002307,0.0002307
37,9919,1.02194,0.51449,0.11711,0.8104,0.01212,0.30612,0.97906,0.95419,0.98166,0.64905,0.98096,0.95605,0.9853,0.96182,1.09068,0.20597,0.01906,0.41861,0.02207,0,0.00022872,0.00022872,0.00022872
38,10181.7,1.02079,0.51804,0.11497,0.79709,0.01206,0.26831,0.9747,0.96487,0.98211,0.64961,0.97657,0.96672,0.98526,0.96159,1.09021,0.19815,0.01879,0.4131,0.02205,0,0.00022674,0.00022674,0.00022674
39,10445.4,1.0238,0.51736,0.1154,0.80237,0.01219,0.27321,0.97289,0.9655,0.98226,0.64925,0.97476,0.96736,0.98509,0.96147,1.08936,0.1979,0.01842,0.41393,0.02202,0,0.00022476,0.00022476,0.00022476
40,10707,1.01659,0.51321,0.11322,0.80324,0.01194,0.25047,0.97471,0.96513,0.98271,0.64951,0.97658,0.96699,0.98515,0.96148,1.08817,0.19803,0.0181,0.41199,0.022,0,0.00022278,0.00022278,0.00022278
41,10969.2,1.01873,0.50903,0.11062,0.7998,0.01208,0.23881,0.97384,0.96846,0.98322,0.64879,0.97571,0.97032,0.98494,0.9616,1.08686,0.19795,0.01779,0.41255,0.02197,0,0.0002208,0.0002208,0.0002208
42,11231.5,1.01684,0.50837,0.10987,0.79719,0.01205,0.22875,0.9742,0.96568,0.98146,0.647,0.97607,0.96753,0.98433,0.96099,1.0866,0.19792,0.01737,0.41387,0.02196,0,0.00021882,0.00021882,0.00021882
43,11491.8,1.01345,0.50525,0.10853,0.79967,0.01203,0.1937,0.97471,0.96528,0.9811,0.64775,0.97658,0.96713,0.98445,0.96085,1.08595,0.20542,0.01712,0.41538,0.02194,0,0.00021684,0.00021684,0.00021684
44,11754.2,1.00567,0.49868,0.10688,0.79002,0.01194,0.19822,0.97281,0.96245,0.98055,0.64778,0.97562,0.96523,0.9843,0.96068,1.08497,0.19745,0.01703,0.41562,0.02193,0,0.00021486,0.00021486,0.00021486
45,12016.1,1.00651,0.49919,0.10466,0.78657,0.01187,0.16122,0.97362,0.96382,0.98072,0.64942,0.97549,0.96568,0.98447,0.96097,1.08446,0.19696,0.01667,0.413,0.02193,0,0.00021288,0.00021288,0.00021288
46,12278.9,1.00428,0.4979,0.10419,0.78965,0.0119,0.15917,0.97702,0.96568,0.98148,0.65017,0.9789,0.96753,0.98491,0.96125,1.08375,0.19678,0.01634,0.4105,0.0219,0,0.0002109,0.0002109,0.0002109
