epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,915.608,1.09919,1.07112,0.12664,1.16151,1.27523,0.82219,0.82468,0.9136,0.58788,0.85774,0.86456,0.93907,0.89622,1.1017,0.2885,0.01331,0.7952,1.34172,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,1821.61,1.11273,1.09525,0.12814,1.16831,1.2857,0.81828,0.82282,0.91455,0.58827,0.85072,0.86696,0.93932,0.89592,1.10096,0.28807,0.01343,0.79396,1.3411,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
32,932.407,1.09919,1.07112,0.12664,1.16151,1.27523,0.82219,0.82468,0.9136,0.58788,0.85774,0.86456,0.93907,0.89622,1.1017,0.2885,0.01331,0.7952,1.34172,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
32,929.929,1.09919,1.07112,0.12664,1.16151,1.27523,0.82219,0.82468,0.9136,0.58788,0.85774,0.86456,0.93907,0.89622,1.1017,0.2885,0.01331,0.7952,1.34172,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
32,934.383,1.09919,1.07112,0.12664,1.16151,1.27523,0.82219,0.82468,0.9136,0.58788,0.85774,0.86456,0.93907,0.89622,1.1017,0.2885,0.01331,0.7952,1.34172,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
32,942.707,1.09919,1.07112,0.12664,1.16151,1.27523,0.82219,0.82468,0.9136,0.58788,0.85774,0.86456,0.93907,0.89622,1.1017,0.2885,0.01331,0.7952,1.34172,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,1890.11,1.11273,1.09525,0.12814,1.16831,1.2857,0.81828,0.82282,0.91455,0.58827,0.85072,0.86696,0.93932,0.89592,1.10096,0.28807,0.01343,0.79396,1.3411,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
32,1022.48,1.10786,1.07488,0.12805,1.1638,1.28163,0.81803,0.82375,0.91461,0.58895,0.85765,0.86364,0.93989,0.89684,1.10071,0.28872,0.01332,0.79418,1.34122,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2024.78,1.11547,1.09641,0.12703,1.17465,1.28463,0.80863,0.8256,0.91104,0.5864,0.8486,0.86642,0.93907,0.89644,1.10129,0.28839,0.01309,0.79504,1.34136,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
32,1036.66,1.10786,1.07488,0.12805,1.1638,1.28163,0.81803,0.82375,0.91461,0.58895,0.85765,0.86364,0.93989,0.89684,1.10071,0.28872,0.01332,0.79418,1.34122,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2066.73,1.11547,1.09641,0.12703,1.17465,1.28463,0.80863,0.8256,0.91104,0.5864,0.8486,0.86642,0.93907,0.89644,1.10129,0.28839,0.01309,0.79504,1.34136,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,3017.08,1.12044,1.10288,0.12722,1.17526,1.28757,0.81027,0.82653,0.9111,0.58828,0.85147,0.86456,0.9397,0.89709,1.10047,0.28802,0.01329,0.79428,1.34099,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,3940.86,1.11068,1.0712,0.12653,1.16486,1.28116,0.81079,0.82931,0.91047,0.58763,0.84991,0.86456,0.93886,0.89556,1.10129,0.28696,0.0133,0.79485,1.34147,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4848.78,1.10716,1.0867,0.12828,1.16739,1.27935,0.81087,0.83395,0.91133,0.58823,0.85019,0.87199,0.93951,0.89708,1.10011,0.28659,0.01316,0.7931,1.34044,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,5756.69,1.10124,1.06857,0.12589,1.15965,1.27673,0.81149,0.83458,0.91182,0.5889,0.8514,0.87164,0.93935,0.89692,1.09947,0.28664,0.01301,0.79008,1.34015,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,6664.84,1.1047,1.08029,0.12484,1.16381,1.27789,0.81606,0.83395,0.91192,0.58912,0.85237,0.87106,0.9392,0.89619,1.09795,0.2862,0.01299,0.78882,1.33966,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,7573.38,1.10159,1.07198,0.12197,1.15961,1.2734,0.81499,0.8321,0.91179,0.59032,0.85236,0.86762,0.9379,0.89484,1.09715,0.28549,0.01294,0.78805,1.33937,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,8482.19,1.09858,1.05988,0.12283,1.15615,1.27051,0.81539,0.83175,0.91273,0.59225,0.85086,0.86793,0.93866,0.89627,1.09697,0.28448,0.01306,0.7863,1.33898,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,9391.52,1.09589,1.05165,0.12225,1.15409,1.27201,0.81402,0.83488,0.91384,0.59244,0.8511,0.87291,0.93897,0.89701,1.09683,0.28404,0.01297,0.78453,1.33878,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,10301.3,1.08995,1.05821,0.1226,1.15536,1.26838,0.81539,0.83175,0.91374,0.59216,0.85086,0.86793,0.93823,0.89598,1.0965,0.28355,0.01276,0.78339,1.33902,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,11279.9,1.0894,1.03358,0.12126,1.1493,1.26863,0.81563,0.82897,0.91369,0.5913,0.85305,0.867,0.93837,0.89703,1.09504,0.28389,0.01269,0.78178,1.3381,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,12260,1.0864,1.02614,0.12079,1.14754,1.26523,0.81318,0.8318,0.9133,0.59136,0.85218,0.87169,0.93845,0.8968,1.0939,0.28422,0.01254,0.78071,1.33742,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,13237.1,1.08128,1.02915,0.12137,1.14355,1.26295,0.81472,0.82804,0.91302,0.5904,0.85305,0.867,0.93845,0.89716,1.09345,0.28366,0.01257,0.77958,1.33735,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,14214.2,1.08576,1.02372,0.11898,1.14141,1.26283,0.81506,0.82839,0.91303,0.59066,0.85339,0.86735,0.9383,0.89754,1.09227,0.28298,0.01243,0.77855,1.33671,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,15188.6,1.07702,1.00545,0.11837,1.13111,1.258,0.81816,0.82468,0.9133,0.5913,0.85261,0.86735,0.93858,0.89909,1.09084,0.28233,0.01236,0.777,1.3361,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,16162.8,1.07616,1.01313,0.11854,1.13292,1.26198,0.81614,0.83024,0.91343,0.59146,0.84941,0.86859,0.93802,0.89844,1.08993,0.28109,0.01195,0.77592,1.3359,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,17133.5,1.06903,1.00042,0.11897,1.12607,1.25598,0.81738,0.83302,0.91316,0.59063,0.84525,0.87013,0.93715,0.8973,1.0896,0.28014,0.01184,0.77435,1.33542,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,18065.4,1.07256,1.00343,0.11753,1.13053,1.25377,0.81075,0.82931,0.91197,0.59048,0.84703,0.86642,0.93666,0.89643,1.08863,0.27938,0.01179,0.77394,1.33506,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,18998.7,1.06833,0.98582,0.11698,1.12742,1.2516,0.81506,0.82839,0.91224,0.5908,0.84626,0.86642,0.9368,0.89634,1.0884,0.27881,0.01176,0.77199,1.33418,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,19932.1,1.067,0.97437,0.11509,1.12516,1.25319,0.81597,0.82931,0.91231,0.59147,0.8464,0.86735,0.93672,0.89656,1.08707,0.27825,0.01173,0.77042,1.33367,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,20864.4,1.06303,0.99002,0.11669,1.12176,1.24863,0.82152,0.82653,0.91236,0.59222,0.8478,0.86642,0.93632,0.89567,1.08636,0.27717,0.01175,0.76864,1.33332,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
