epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.937,1.3592545571269672,2.226507311139362,0.18766670189098997,1.4556990868425248,1.4545521589861763,0.7898798607182577,0.8045184820435404,0.8454323429207058,0.5759953907516291,0.8374867219132363,0.8212268451453995,0.9009285945494994,0.8151587408231369,1.0747101443667568,0.49633912434450966,0.009814585650723018,0.8266889230891473,1.271000095900207,4.999999999999999e-05,4.999999999999999e-05,4.999999999999999e-05
2,69.873,1.3525890019863347,2.2033875493008113,0.18615851751946608,1.4452486101024962,1.4488261312768167,0.7946780417726038,0.8055785360519625,0.8501193608771653,0.579844843635786,0.8406941587875411,0.8236587912164308,0.903837492352614,0.8195783175750836,1.0705433546202132,0.48833166023756547,0.010028006813125689,0.8192217948116961,1.2682278572819008,4.966999999999999e-05,4.966999999999999e-05,4.966999999999999e-05
3,104.81,1.345992397664072,2.180686318965518,0.18467612430478308,1.4349872668242505,1.4431967125973315,0.7993218535873187,0.8066426416852058,0.8546524983314797,0.5835715228031149,0.8438003317575078,0.8260401931312569,0.9066585126529477,0.8238696045606231,1.0665073249443828,0.4805600104282535,0.010231339682981086,0.811979472469411,1.2655513630422697,4.934e-05,4.934e-05,4.934e-05
4,139.746,1.3394647441601788,2.1584036201334826,0.18321952224694105,1.4249150570077878,1.437663902947721,0.8038112961624022,0.8077107989432704,0.8590317552836488,0.5871754282536155,0.8468052408231364,0.8283710508898776,0.9093916554505006,0.8280326017797555,1.062602055339266,0.4730241749165739,0.010424584260289207,0.804961956062292,1.262970613181313,4.901e-05,4.901e-05,4.901e-05
5,174.683,1.3330060414746552,2.136539452804705,0.18178871134593994,1.415031980653108,1.4322277023279848,0.8081463694978545,0.8087830078261562,0.8632571317336727,0.5906565599872878,0.8497088859844268,0.830651364492293,0.9120369207452727,0.8320673092324807,1.0588275458048628,0.46572415370252657,0.010607740545050055,0.7981692455903391,1.2604856076990312,4.868e-05,4.868e-05,4.868e-05
6,209.62,1.326616289607501,2.115093816979184,0.18038369160177978,1.4053380377602112,1.426888110738123,0.8123270735936753,0.8098592683338632,0.8673286276815513,0.594014918004132,0.852511267241379,0.8328811339385032,0.9145943085372638,0.8359737269187989,1.055183796341173,0.45865994678611155,0.010780808537263627,0.7916013410535522,1.258096346595424,4.835e-05,4.835e-05,4.835e-05
7,244.556,1.3202954885587168,2.0940667126569212,0.17900446301446055,1.395833228329097,1.4216451281781357,0.8163534084498647,0.8109395804663915,0.8712462431272846,0.5972505023041479,0.8552123845939932,0.835060359228508,0.917063818826474,0.83975185483871,1.0516708069481968,0.4518315541673288,0.010943788236929925,0.7852582424519313,1.2558028298704915,4.8020000000000004e-05,4.8020000000000004e-05,4.8020000000000004e-05
8,279.493,1.314043638328302,2.073458139837916,0.17765102558398224,1.3865175523597661,1.416498754648023,0.8202253740664229,0.812023944223741,0.8750099780708728,0.6003633128873356,0.8578122380422691,0.8371890403623075,0.9194454516129034,0.8434016929922138,1.0482885776259339,0.4452389758461783,0.011096679644048948,0.7791399497854765,1.2536050575242337,4.7690000000000006e-05,4.7690000000000006e-05,4.7690000000000006e-05
9,314.429,1.307860738916257,2.0532680985221683,0.17632337931034486,1.377391009852218,1.4114489901477847,0.8239429704433497,0.8131123596059117,0.8786198325123157,0.603353349753695,0.8603108275862069,0.8392671773399016,0.921739206896552,0.8469232413793106,1.0450371083743846,0.43888221182266013,0.011239482758620694,0.7732464630541878,1.2515030295566507,4.736000000000001e-05,4.736000000000001e-05,4.736000000000001e-05
10,349.366,1.23598,1.91404,0.16981,1.32874,1.37537,0.84871,0.8154,0.89628,0.61343,0.87642,0.84694,0.93602,0.85966,1.0456,0.43937,0.01276,0.75496,1.25577,4.703e-05,4.703e-05,4.703e-05
11,670.764,1.32014,2.06341,0.17687,1.37536,1.41286,0.78222,0.80519,0.8547,0.5937,0.8348,0.82931,0.90872,0.83744,1.03395,0.43312,0.0114,0.796,1.24212,4.67e-05,4.67e-05,4.67e-05
12,981.33,1.31378,2.04631,0.17451,1.36521,1.40974,0.8179,0.82189,0.88155,0.60753,0.85868,0.85065,0.92348,0.85388,1.03174,0.41955,0.01105,0.75121,1.24489,4.637e-05,4.637e-05,4.637e-05
