epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,4458.72,1.16912,0.76971,0.14225,1.07782,0.01409,1.04318,0.83654,0.85529,0.93141,0.59262,0.93427,0.89981,0.96688,0.93912,1.18901,0.24411,0.03189,0.59218,0.02444,0,0.0004208,0.0004208,0.0004208
26,4628.64,1.16958,0.74805,0.13978,1.06751,0.01391,0.94815,0.94232,0.90538,0.96624,0.6249,0.95575,0.92165,0.9745,0.94887,1.17456,0.24256,0.03081,0.51015,0.02406,0,0.0004175,0.0004175,0.0004175
27,4800.36,1.15794,0.74096,0.13907,1.05189,0.01381,0.92843,0.86341,0.8444,0.92747,0.5899,0.93372,0.90353,0.96366,0.93499,1.17853,0.23644,0.03009,0.60176,0.02406,0,0.0004142,0.0004142,0.0004142
28,4971.4,1.15516,0.73167,0.13673,1.03596,0.01377,0.85704,0.94454,0.90631,0.96524,0.62387,0.95101,0.92115,0.97322,0.94776,1.16857,0.23049,0.02989,0.50572,0.02385,0,0.0004109,0.0004109,0.0004109
29,5141.97,1.15097,0.72901,0.13704,1.03614,0.01374,0.86227,0.92958,0.89388,0.95878,0.61062,0.95699,0.92115,0.97153,0.94597,1.16403,0.23744,0.02526,0.52679,0.02373,0,0.0004076,0.0004076,0.0004076
30,5312.6,1.14541,0.71421,0.13426,1.02577,0.01378,0.86304,0.94283,0.90259,0.96208,0.61897,0.95339,0.92672,0.97233,0.94903,1.16561,0.2314,0.02372,0.50481,0.0238,0,0.0004043,0.0004043,0.0004043
31,5482.86,1.13728,0.69761,0.13179,1.0145,0.01362,0.76329,0.90869,0.86549,0.94719,0.6109,0.94914,0.90816,0.9706,0.94829,1.15418,0.22959,0.02437,0.54352,0.02344,0,0.000401,0.000401,0.000401
32,5653.16,1.13374,0.69696,0.13015,1.00942,0.01347,0.7598,0.9341,0.90721,0.9647,0.62643,0.95623,0.92393,0.9752,0.95102,1.15031,0.22647,0.0222,0.5009,0.02338,0,0.0003977,0.0003977,0.0003977
33,5823.19,1.13208,0.69522,0.12939,1.00647,0.01345,0.72216,0.92655,0.88683,0.9527,0.61337,0.95929,0.91816,0.97166,0.94789,1.15347,0.2338,0.02285,0.53115,0.02357,0,0.0003944,0.0003944,0.0003944
34,5993.91,1.12806,0.68364,0.12866,1.00347,0.01342,0.67319,0.86933,0.88497,0.93402,0.60435,0.94517,0.91145,0.96956,0.94583,1.1392,0.22701,0.02085,0.56543,0.02311,0,0.0003911,0.0003911,0.0003911
35,6164.76,1.1202,0.67791,0.12739,0.99719,0.01342,0.68414,0.92309,0.91002,0.95808,0.61862,0.95008,0.93581,0.97211,0.94858,1.14236,0.22387,0.02147,0.51547,0.02325,0,0.0003878,0.0003878,0.0003878
36,6335.81,1.10798,0.669,0.12679,0.98985,0.01321,0.63258,0.94239,0.90445,0.95796,0.62154,0.96335,0.9265,0.97224,0.94976,1.13968,0.22799,0.02085,0.50331,0.02312,0,0.0003845,0.0003845,0.0003845
37,6505.7,1.10943,0.65699,0.1239,0.97896,0.01317,0.61683,0.93411,0.90742,0.96284,0.62238,0.95716,0.92301,0.97426,0.94956,1.14226,0.22816,0.02221,0.50057,0.02331,0,0.0003812,0.0003812,0.0003812
38,6675.69,1.11373,0.66737,0.12557,0.97143,0.01318,0.63055,0.93962,0.93228,0.96823,0.62382,0.95809,0.94063,0.97566,0.95015,1.14177,0.23025,0.02115,0.4733,0.02322,0,0.0003779,0.0003779,0.0003779
39,6845.65,1.11692,0.66057,0.12221,0.96787,0.01327,0.56252,0.9523,0.92602,0.96806,0.62781,0.96518,0.93785,0.97585,0.95211,1.13932,0.22427,0.02063,0.47314,0.02317,0,0.0003746,0.0003746,0.0003746
40,7015.72,1.09928,0.64721,0.12169,0.95565,0.01302,0.52418,0.96194,0.93785,0.97044,0.63187,0.97146,0.94712,0.97758,0.95407,1.13606,0.22188,0.01996,0.46449,0.02306,0,0.0003713,0.0003713,0.0003713
41,7185.64,1.09612,0.64,0.1207,0.95566,0.013,0.48283,0.95277,0.92393,0.96727,0.62845,0.96663,0.94049,0.97589,0.954,1.13317,0.2216,0.0193,0.4787,0.02304,0,0.000368,0.000368,0.000368
42,7355.33,1.09668,0.62971,0.11961,0.94362,0.013,0.45233,0.93351,0.92477,0.96616,0.62843,0.96105,0.93692,0.97605,0.95251,1.13629,0.22284,0.01817,0.4859,0.02311,0,0.0003647,0.0003647,0.0003647
43,7524.94,1.08957,0.62632,0.11821,0.94378,0.01291,0.4531,0.95088,0.93372,0.96814,0.63031,0.96311,0.94465,0.9762,0.95375,1.1301,0.21934,0.0185,0.47363,0.02299,0,0.0003614,0.0003614,0.0003614
44,7694.61,1.08782,0.63644,0.11808,0.94525,0.01277,0.39731,0.9492,0.9295,0.96886,0.63382,0.96302,0.94211,0.97672,0.95573,1.13309,0.22067,0.01902,0.47021,0.02304,0,0.0003581,0.0003581,0.0003581
45,7864.69,1.08462,0.62275,0.11868,0.93268,0.01285,0.42077,0.93688,0.93043,0.96342,0.63015,0.96547,0.93878,0.97652,0.95337,1.1334,0.22687,0.02202,0.47102,0.02309,0,0.0003548,0.0003548,0.0003548
46,8036.34,1.08355,0.62272,0.11718,0.92984,0.01274,0.4197,0.94522,0.92842,0.96737,0.63046,0.96838,0.93763,0.97652,0.95243,1.13325,0.22183,0.01952,0.47754,0.02311,0,0.0003515,0.0003515,0.0003515
47,8208.22,1.07929,0.61994,0.11746,0.93038,0.01282,0.40232,0.94824,0.93135,0.966,0.63512,0.96663,0.94055,0.97643,0.95173,1.12631,0.21952,0.01894,0.46945,0.02294,0,0.0003482,0.0003482,0.0003482
48,8380.79,1.0742,0.61539,0.11495,0.92141,0.01263,0.37217,0.95508,0.93692,0.96737,0.63671,0.96376,0.9462,0.9766,0.95307,1.12261,0.21932,0.01819,0.46103,0.02281,0,0.0003449,0.0003449,0.0003449
49,8553.59,1.07365,0.60611,0.1155,0.91075,0.01269,0.36941,0.95699,0.94156,0.967,0.63777,0.96658,0.95083,0.97723,0.95348,1.11839,0.21943,0.01806,0.45924,0.02274,0,0.0003416,0.0003416,0.0003416
50,8725.78,1.0716,0.60215,0.1149,0.91874,0.01265,0.35099,0.9651,0.94527,0.96839,0.63997,0.97398,0.95362,0.97737,0.95369,1.11908,0.21773,0.01777,0.4509,0.02273,0,0.0003383,0.0003383,0.0003383
